p   edge 69  121
e  0  62  464
e  0  38  902
e  0  27  3
e  0  15  724
e  1  2  950
e  1  26  71
e  2  3  71
e  3  4  277
e  3  35  635
e  3  26  950
e  4  5  464
e  4  20  848
e  4  29  635
e  5  6  848
e  6  7  635
e  6  20  464
e  7  8  446
e  7  25  75
e  7  24  464
e  8  9  75
e  9  10  902
e  9  17  831
e  9  25  446
e  10  11  831
e  11  12  18
e  11  17  902
e  12  13  3
e  12  16  354
e  12  19  746
e  12  21  902
e  13  14  354
e  14  15  746
e  14  16  3
e  15  18  3
e  16  18  746
e  17  21  18
e  17  28  446
e  18  27  724
e  18  23  902
e  18  19  354
e  19  22  902
e  20  24  635
e  21  22  746
e  21  30  446
e  22  23  354
e  22  31  446
e  23  33  724
e  23  46  464
e  23  39  446
e  24  32  75
e  24  40  277
e  24  29  848
e  25  28  831
e  25  32  464
e  26  56  635
e  26  61  75
e  27  33  902
e  28  30  18
e  28  34  464
e  29  35  277
e  30  31  746
e  30  36  464
e  31  39  354
e  31  37  464
e  32  34  831
e  32  45  746
e  32  43  277
e  33  38  3
e  33  50  464
e  34  36  18
e  34  41  746
e  35  40  848
e  35  44  75
e  35  56  950
e  36  37  746
e  37  42  354
e  37  49  277
e  37  41  18
e  38  58  464
e  39  42  464
e  40  43  75
e  41  48  277
e  41  45  831
e  42  46  446
e  42  55  724
e  42  57  277
e  43  47  746
e  43  44  848
e  44  51  746
e  44  59  950
e  45  47  277
e  46  50  724
e  47  48  831
e  47  51  848
e  48  49  18
e  48  52  848
e  49  57  354
e  49  53  848
e  50  58  3
e  50  55  446
e  51  52  831
e  51  54  18
e  51  60  950
e  52  53  18
e  53  65  354
e  53  64  950
e  53  54  831
e  54  63  950
e  55  68  3
e  55  66  277
e  56  59  75
e  57  66  724
e  57  65  848
e  58  62  902
e  58  68  446
e  59  60  746
e  59  61  635
e  60  63  18
e  60  67  635
e  61  67  746
e  63  64  831
