p   edge 701  1343
e  0  684  586
e  0  614  863
e  0  393  367
e  0  376  762
e  0  196  443
e  0  38  404
e  1  2  586
e  1  131  657
e  1  156  668
e  1  291  760
e  1  364  633
e  1  447  566
e  1  670  404
e  2  3  282
e  2  108  657
e  3  4  863
e  3  71  657
e  4  5  367
e  4  67  657
e  5  6  30
e  5  47  657
e  6  7  657
e  7  8  35
e  7  47  30
e  8  9  18
e  8  65  30
e  9  10  379
e  9  85  367
e  9  77  30
e  10  11  68
e  10  73  668
e  10  86  367
e  11  12  668
e  12  13  702
e  12  73  68
e  13  14  270
e  13  40  30
e  13  96  367
e  13  78  68
e  14  15  30
e  15  16  762
e  15  41  694
e  15  40  270
e  16  17  694
e  17  18  897
e  17  41  762
e  18  19  5
e  18  42  762
e  19  20  588
e  19  51  359
e  19  46  762
e  20  21  267
e  20  45  359
e  21  22  359
e  22  23  760
e  22  45  267
e  23  24  728
e  23  49  267
e  24  25  52
e  24  60  633
e  24  59  267
e  25  26  633
e  26  27  826
e  26  75  570
e  26  94  267
e  26  60  52
e  27  28  285
e  27  66  570
e  28  29  825
e  28  43  570
e  29  30  570
e  30  31  576
e  30  43  825
e  31  32  326
e  31  61  566
e  31  116  825
e  32  33  304
e  32  44  566
e  33  34  443
e  33  39  566
e  34  35  566
e  35  36  600
e  35  39  443
e  36  37  996
e  36  52  443
e  37  38  775
e  37  81  443
e  38  189  443
e  39  52  600
e  39  44  304
e  40  48  694
e  40  93  760
e  40  106  367
e  41  42  897
e  41  48  270
e  42  46  5
e  42  57  359
e  42  50  270
e  43  116  576
e  43  126  566
e  43  66  285
e  44  76  600
e  44  61  326
e  45  49  760
e  45  54  762
e  45  51  588
e  46  53  359
e  47  65  35
e  47  67  367
e  48  50  897
e  48  80  760
e  49  59  728
e  49  55  762
e  50  58  359
e  51  53  762
e  52  81  996
e  52  251  267
e  52  76  304
e  53  54  588
e  53  56  760
e  53  62  270
e  53  57  5
e  54  55  760
e  55  68  728
e  55  56  588
e  56  70  728
e  56  63  270
e  57  58  270
e  58  62  5
e  58  64  760
e  59  84  633
e  59  68  762
e  60  84  267
e  61  122  600
e  61  118  825
e  62  63  760
e  63  72  728
e  63  64  5
e  64  111  728
e  64  142  633
e  64  136  367
e  64  79  897
e  65  77  18
e  65  69  367
e  66  150  566
e  66  75  826
e  67  69  35
e  67  71  863
e  68  89  633
e  68  74  270
e  68  70  588
e  69  83  18
e  69  92  379
e  69  82  863
e  70  72  270
e  71  82  35
e  71  108  282
e  72  74  588
e  72  109  633
e  72  111  5
e  73  78  702
e  73  88  367
e  74  98  633
e  75  164  566
e  75  123  267
e  76  234  267
e  76  122  326
e  77  83  367
e  78  91  367
e  79  80  359
e  79  125  367
e  79  103  694
e  80  93  694
e  81  189  775
e  81  225  404
e  81  302  267
e  82  100  668
e  82  120  282
e  83  85  30
e  83  87  379
e  84  94  52
e  84  89  762
e  85  86  379
e  86  88  668
e  86  87  30
e  87  90  668
e  87  92  18
e  88  91  702
e  88  90  30
e  89  104  52
e  89  98  270
e  90  95  702
e  90  97  18
e  91  96  68
e  91  95  30
e  92  97  668
e  93  103  359
e  93  117  367
e  94  123  570
e  94  104  762
e  95  102  68
e  95  107  863
e  95  101  18
e  96  106  30
e  96  102  30
e  97  101  702
e  97  99  863
e  98  112  52
e  98  109  588
e  99  100  379
e  99  105  702
e  100  114  702
e  100  130  282
e  101  105  863
e  102  113  30
e  102  110  863
e  103  119  367
e  104  134  570
e  104  112  270
e  105  107  18
e  105  121  68
e  105  140  30
e  105  139  282
e  105  114  379
e  106  117  760
e  106  124  863
e  106  113  30
e  107  110  68
e  108  120  35
e  108  138  668
e  108  131  586
e  109  127  52
e  109  128  5
e  110  115  30
e  110  121  18
e  111  128  633
e  112  143  570
e  112  127  588
e  113  115  863
e  114  135  282
e  115  124  30
e  115  133  760
e  115  132  18
e  116  118  566
e  117  119  359
e  117  129  863
e  118  206  600
e  118  188  267
e  118  170  285
e  118  126  576
e  119  125  694
e  119  137  863
e  120  130  668
e  121  132  30
e  122  224  267
e  122  206  825
e  123  169  566
e  123  134  762
e  124  129  760
e  125  136  897
e  125  144  863
e  126  150  285
e  127  159  570
e  127  187  367
e  127  163  5
e  128  163  52
e  128  166  367
e  128  142  728
e  129  137  359
e  129  133  30
e  130  135  702
e  130  146  586
e  130  138  35
e  131  145  668
e  132  149  760
e  132  157  282
e  132  140  68
e  133  141  359
e  133  149  18
e  134  174  566
e  134  143  270
e  135  139  379
e  135  147  586
e  136  155  633
e  136  152  863
e  137  144  694
e  137  141  30
e  138  145  586
e  139  153  30
e  139  154  586
e  140  153  282
e  141  151  694
e  141  179  282
e  141  161  18
e  142  155  367
e  143  180  566
e  143  159  588
e  144  152  897
e  144  151  30
e  145  146  35
e  145  148  702
e  145  156  657
e  146  147  702
e  147  154  379
e  147  148  35
e  148  178  379
e  148  202  760
e  148  168  657
e  149  161  359
