p   edge 696  1331
e  0  552  1000
e  0  429  432
e  0  38  308
e  1  2  1000
e  1  60  470
e  1  371  888
e  1  499  361
e  1  677  981
e  1  684  308
e  2  3  470
e  3  4  195
e  3  66  897
e  3  161  906
e  3  60  1000
e  4  5  897
e  5  6  805
e  5  110  906
e  5  66  195
e  6  7  432
e  6  100  906
e  7  8  501
e  7  86  906
e  8  9  111
e  8  79  906
e  9  10  730
e  9  74  906
e  10  11  974
e  10  51  314
e  10  54  906
e  11  12  314
e  12  13  558
e  12  46  906
e  12  51  974
e  13  14  957
e  13  42  906
e  14  15  906
e  15  16  294
e  15  62  155
e  15  42  957
e  16  17  155
e  17  18  800
e  17  75  888
e  17  111  974
e  17  62  294
e  18  19  852
e  18  63  888
e  19  20  47
e  19  49  888
e  20  21  181
e  20  40  888
e  21  22  888
e  22  23  304
e  22  40  181
e  23  24  911
e  23  47  181
e  24  25  311
e  24  50  632
e  24  48  181
e  25  26  632
e  26  27  387
e  26  44  60
e  26  55  181
e  26  50  311
e  27  28  60
e  28  29  156
e  28  44  387
e  29  30  182
e  29  45  387
e  30  31  399
e  30  71  361
e  30  59  387
e  31  32  992
e  31  67  361
e  32  33  226
e  32  57  361
e  33  34  803
e  33  43  361
e  34  35  519
e  34  41  361
e  35  36  666
e  35  39  361
e  36  37  361
e  37  38  981
e  37  39  666
e  38  381  432
e  38  95  666
e  39  95  981
e  39  41  519
e  40  47  304
e  40  58  632
e  40  49  47
e  41  109  981
e  41  73  226
e  41  43  803
e  42  77  155
e  42  61  974
e  42  46  558
e  43  57  226
e  44  45  156
e  44  64  181
e  45  59  182
e  45  65  181
e  46  53  974
e  47  48  911
e  47  56  632
e  48  52  632
e  49  70  632
e  49  83  800
e  49  63  852
e  50  52  181
e  51  53  906
e  52  55  311
e  52  68  60
e  52  56  911
e  53  61  558
e  53  90  155
e  53  89  730
e  53  54  314
e  54  74  730
e  55  64  60
e  56  76  60
e  56  58  304
e  57  73  803
e  57  67  992
e  58  81  60
e  58  70  47
e  59  84  361
e  59  72  181
e  60  171  906
e  60  325  888
e  61  78  155
e  62  80  974
e  62  77  957
e  63  75  800
e  64  65  156
e  64  68  311
e  65  72  182
e  65  112  361
e  65  69  311
e  66  128  906
e  67  71  399
e  68  69  156
e  68  76  911
e  69  116  361
e  69  108  800
e  69  82  911
e  70  91  60
e  70  87  800
e  71  237  803
e  71  94  181
e  71  84  387
e  72  88  361
e  73  145  981
e  73  322  432
e  73  288  181
e  73  236  399
e  74  89  314
e  74  79  111
e  75  83  852
e  75  103  632
e  75  113  974
e  76  82  156
e  76  81  304
e  77  78  974
e  78  80  957
e  78  117  888
e  78  107  730
e  78  90  558
e  79  92  314
e  79  86  501
e  80  111  294
e  80  114  888
e  81  85  156
e  81  91  47
e  82  104  800
e  82  85  304
e  83  87  632
e  84  88  181
e  85  101  800
e  85  93  47
e  86  102  314
e  86  106  155
e  86  100  432
e  87  97  60
e  87  131  974
e  87  103  852
e  88  94  387
e  88  138  800
e  88  120  311
e  88  112  182
e  89  96  155
e  89  92  111
e  90  96  730
e  91  93  156
e  91  97  800
e  92  99  155
e  92  102  501
e  93  98  800
e  94  260  803
e  94  287  432
e  94  280  800
e  95  373  432
e  95  319  226
e  95  109  519
e  96  107  558
e  96  99  111
e  97  98  156
e  97  137  974
e  98  101  47
e  98  119  304
e  98  177  361
e  98  144  974
e  99  115  558
e  99  105  501
e  100  118  155
e  100  110  805
e  101  104  304
e  102  105  155
e  103  126  974
e  104  108  911
e  104  157  361
e  104  119  47
e  105  125  558
e  105  130  888
e  105  122  432
e  105  106  314
e  106  118  432
e  107  121  888
e  107  115  111
e  108  123  361
e  109  145  226
e  110  127  155
e  110  128  195
e  111  113  888
e  112  116  311
e  113  126  632
e  113  114  294
e  114  133  632
e  114  117  957
e  115  124  888
e  115  125  501
e  116  120  182
e  116  123  800
e  117  134  632
e  117  121  730
e  118  122  314
e  118  127  805
e  119  167  361
e  120  132  800
e  121  135  632
e  121  124  111
e  122  140  888
e  122  142  805
e  123  132  182
e  123  190  974
e  123  157  911
e  124  139  632
e  124  129  501
e  125  129  888
e  126  131  852
e  126  143  730
e  126  136  957
e  126  133  294
e  127  142  314
e  127  175  888
e  127  152  195
e  128  152  155
e  128  161  897
e  129  146  632
e  129  153  432
e  129  130  558
e  130  140  432
e  131  137  60
e  131  147  730
e  132  138  311
e  132  233  501
e  132  216  974
e  133  134  957
e  134  136  294
e  134  135  730
e  135  141  294
e  135  139  111
e  136  141  730
e  137  144  156
e  137  151  730
e  138  280  387
e  138  275  432
e  138  240  501
e  139  148  294
e  139  154  852
e  139  146  501
e  140  153  558
e  140  169  632
e  140  158  805
e  141  143  957
e  141  149  852
e  141  148  111
e  142  158  888
e  143  147  852
e  144  178  361
e  144  160  730
e  145  319  519
e  145  328  432
e  146  159  852
e  146  165  432
e  147  151  60
e  147  149  957
e  148  150  852
e  149  150  111
e  150  156  60
e  150  154  294
e  151  160  156
e  151  155  111
e  152  184  888
e  152  194  897
e  153  165  632
e  154  159  501
e  155  156  957
e  155  164  156
e  156  166  156
e  156  162  501
e  157  186  974
e  157  167  47
e  158  179  632
e  158  196  195
e  158  175  314
e  159  163  60
e  159  173  432
e  160  183  361
e  160  164  111
e  161  194  155
e  161  171  1000
e  162  163  294
e  162  168  156
e  163  172  156
e  163  174  432
e  164  185  361
e  164  170  501
e  164  166  957
e  165  173  852
e  165  176  60
e  165  188  805
e  165  169  558
e  166  168  501
e  167  181  974
e  167  177  304
e  168  170  957
e  168  182  432
e  168  172  294
e  169  179  805
e  170  189  361
e  171  203  155
e  171  302  888
e  172  180  432
e  173  174  60
e  174  180  156
e  174  195  805
e  174  176  852
e  175  184  195
e  176  191  805
e  177  178  974
e  178  181  304
e  178  183  730
e  179  188  558
e  179  193  60
e  179  211  195
e  180  182  294
e  180  215  361
e  180  199  805
e  181  186  47
e  181  187  730
e  182  205  361
e  183  187  304
e  183  185  111
e  184  196  314
e  184  226  632
e  184  225  1000
e  184  222  897
e  185  192  304
e  185  189  501
e  186  190  911
e  186  198  730
e  187  198  47
e  187  192  111
e  188  191  60
e  189  197  304
e  189  204  432
e  190  216  182
e  190  202  730
e  191  195  852
e  191  193  558
e  192  201  47
e  192  197  501
e  193  200  852
e  193  223  195
e  194  222  888
e  194  203  1000
e  195  199  156
e  195  200  558
e  196  211  632
e  197  207  47
e  197  210  432
e  198  202  911
e  198  201  111
e  199  217  361
e  199  209  558
e  200  209  156
e  201  206  911
e  201  207  501
e  202  219  182
e  202  206  111
e  203  224  888
e  204  205  957
e  204  210  304
e  205  213  304
e  205  218  805
e  205  215  294
e  206  220  182
e  206  208  501
e  207  208  911
e  207  212  432
e  208  221  182
e  208  214  432
e  209  241  361
e  209  227  195
e  210  212  47
e  210  213  957
e  211  223  60
e  211  226  314
e  212  214  911
e  213  231  911
e  213  229  805
e  214  232  182
e  214  244  805
e  214  230  957
e  215  217  805
e  216  219  730
e  217  218  294
e  217  251  304
e  217  253  195
e  217  241  558
e  218  229  304
e  219  220  111
e  220  221  501
e  221  235  974
e  221  245  311
e  221  232  432
e  222  224  1000
e  223  228  156
e  223  258  1000
e  223  254  314
e  224  225  897
e  224  250  632
e  224  363  906
e  224  302  155
e  225  249  632
e  226  254  60
e  226  249  1000
e  227  228  852
e  227  247  361
e  227  265  1000
e  228  263  1000
e  229  238  911
e  229  251  294
e  230  231  47
e  230  239  805
e  231  238  805
e  232  246  311
e  232  252  805
e  233  234  111
e  233  240  311
e  234  235  730
e  234  242  311
e  235  243  311
e  236  237  992
e  236  276  181
e  237  260  181
e  238  239  47
e  238  268  195
e  239  244  957
e  239  255  182
e  239  270  195
e  240  259  432
e  240  242  111
e  241  247  195
e  242  256  432
e  242  243  730
e  243  248  432
e  243  245  974
e  244  252  182
e  245  246  432
e  246  248  974
e  246  264  805
e  247  253  558
e  247  273  304
e  247  272  1000
e  248  256  730
e  248  295  387
e  248  285  805
e  249  257  60
e  249  250  897
e  250  261  60
e  250  382  906
e  251  262  195
e  252  264  311
e  252  255  957
e  253  262  304
e  254  257  1000
e  255  284  311
e  255  278  195
e  256  259  111
e  256  293  387
e  257  258  314
e  257  261  897
e  258  263  156
e  259  275  501
e  259  286  387
e  260  276  992
e  260  307  432
e  261  267  156
e  261  364  361
e  261  409  470
e  261  406  906
e  262  269  911
e  262  273  558
e  263  265  852
e  263  266  897
e  264  285  974
e  264  316  387
e  264  297  195
e  264  284  957
e  265  272  361
e  265  271  897
e  266  267  314
e  266  271  852
e  267  277  852
