p   edge 797  1513
e  0  710  492
e  0  664  736
e  0  59  322
e  1  2  539
e  1  115  730
e  1  453  169
e  2  3  730
e  3  4  66
e  3  93  169
e  3  115  539
e  4  5  404
e  4  90  169
e  5  6  169
e  6  7  71
e  6  86  353
e  6  113  153
e  6  98  66
e  6  90  404
e  7  8  353
e  8  9  524
e  8  68  153
e  8  86  71
e  9  10  153
e  10  11  252
e  10  68  524
e  11  12  457
e  11  72  524
e  12  13  740
e  12  81  608
e  12  73  524
e  13  14  141
e  13  74  608
e  14  15  608
e  15  16  4
e  15  60  840
e  15  74  141
e  16  17  840
e  17  18  68
e  17  60  4
e  18  19  621
e  18  62  4
e  19  20  236
e  19  66  350
e  19  87  4
e  20  21  492
e  20  64  350
e  21  22  350
e  22  23  806
e  22  64  492
e  23  24  303
e  23  82  629
e  23  75  492
e  24  25  600
e  24  71  629
e  25  26  629
e  26  27  56
e  26  71  600
e  27  28  546
e  27  76  869
e  27  96  600
e  28  29  869
e  29  30  405
e  29  76  546
e  30  31  220
e  30  100  678
e  30  92  546
e  31  32  236
e  31  88  678
e  32  33  678
e  33  34  705
e  33  88  236
e  34  35  30
e  34  61  616
e  34  114  236
e  35  36  616
e  36  37  574
e  36  61  30
e  37  38  469
e  37  67  30
e  38  39  615
e  38  84  30
e  39  40  740
e  39  63  573
e  39  112  30
e  40  41  573
e  41  42  519
e  41  63  740
e  42  43  882
e  42  101  795
e  42  69  740
e  43  44  736
e  43  70  334
e  43  95  795
e  44  45  334
e  45  46  210
e  45  77  795
e  45  70  736
e  46  47  572
e  46  65  795
e  47  48  795
e  48  49  688
e  48  65  572
e  49  50  314
e  49  79  82
e  49  109  736
e  49  102  572
e  50  51  82
e  51  52  919
e  51  79  314
e  52  53  404
e  52  148  984
e  52  167  596
e  52  147  314
e  53  54  110
e  53  134  984
e  54  55  984
e  55  56  540
e  55  128  596
e  55  134  110
e  56  57  475
e  56  85  596
e  57  58  596
e  58  59  813
e  58  85  475
e  59  593  736
e  59  135  475
e  60  62  68
e  60  136  141
e  61  67  574
e  61  125  469
e  61  177  236
e  62  87  621
e  62  152  524
e  63  69  519
e  63  133  30
e  64  75  806
e  64  66  236
e  65  102  688
e  65  83  736
e  65  77  210
e  66  78  806
e  66  119  629
e  66  118  4
e  67  84  469
e  68  72  252
e  68  97  71
e  69  116  795
e  69  149  30
e  70  80  795
e  71  96  56
e  71  99  492
e  71  82  303
e  72  73  457
e  72  103  71
e  73  94  608
e  73  106  71
e  74  136  840
e  74  122  524
e  74  81  740
e  75  89  629
e  75  78  236
e  76  92  405
e  76  124  600
e  77  80  736
e  78  91  629
e  79  147  919
e  79  204  596
e  79  158  736
e  80  83  210
e  80  104  882
e  80  95  334
e  81  94  524
e  82  89  492
e  83  105  688
e  83  127  882
e  84  112  615
e  84  203  573
e  84  237  492
e  84  125  574
e  85  135  813
e  85  128  540
e  86  97  153
e  87  118  350
e  87  154  56
e  87  188  524
e  88  114  705
e  88  100  220
e  89  99  303
e  89  91  236
e  90  93  66
e  91  107  303
e  91  111  56
e  91  119  806
e  92  156  678
e  92  155  492
e  92  143  600
e  93  98  404
e  93  141  539
e  94  122  740
e  94  144  840
e  94  117  71
e  95  101  882
e  96  124  869
e  96  108  492
e  97  103  252
e  97  113  353
e  98  176  153
e  98  171  539
e  99  108  56
e  99  107  236
e  100  120  705
e  100  156  546
e  101  104  334
e  101  116  740
e  102  105  736
e  103  106  457
e  103  121  353
e  104  127  210
e  104  157  688
e  104  126  740
e  105  109  572
e  105  137  882
e  106  117  608
e  106  138  353
e  107  110  56
e  108  129  869
e  108  110  236
e  109  158  82
e  109  186  882
e  110  132  869
e  110  111  303
e  111  142  869
e  111  140  4
e  111  123  806
e  112  133  573
e  113  121  252
e  113  176  66
e  114  177  616
e  114  194  492
e  114  120  220
e  115  141  169
e  116  126  334
e  116  170  30
e  117  161  840
e  117  247  539
e  117  151  353
e  118  131  56
e  119  123  56
e  120  179  492
e  120  162  546
e  121  138  457
e  121  181  608
e  121  189  66
e  122  139  840
e  123  130  4
e  124  143  405
e  124  129  492
e  125  222  492
e  125  209  236
e  126  163  688
e  126  221  30
e  127  137  688
e  128  235  813
e  128  150  110
e  129  145  405
e  129  132  236
e  130  131  629
e  130  140  806
e  130  178  869
e  131  216  869
e  131  154  350
e  132  146  405
e  132  142  303
e  133  149  519
e  133  213  795
e  133  203  615
e  134  150  596
e  134  148  404
e  135  581  736
e  135  373  110
e  135  235  540
e  136  139  524
e  137  186  572
e  137  214  82
e  137  164  740
e  137  157  210
e  138  151  608
e  139  153  68
e  139  144  740
e  140  159  869
e  141  171  404
e  141  296  153
e  141  454  608
e  141  503  56
e  141  453  730
e  142  165  405
e  142  159  4
e  143  145  492
e  144  174  68
e  144  161  71
e  145  155  600
e  145  169  678
e  145  146  236
e  146  172  678
e  146  183  705
e  146  165  303
e  147  187  596
e  148  160  596
e  149  170  795
e  150  266  813
e  150  160  404
e  151  244  539
e  151  198  66
e  151  181  457
e  152  153  141
e  152  188  621
e  153  200  621
e  153  199  71
e  153  174  740
e  154  230  869
e  154  210  524
e  155  166  678
e  156  162  705
e  156  166  492
e  157  163  740
e  158  226  596
e  158  192  882
e  159  180  405
e  159  178  806
e  160  288  813
e  160  205  314
e  160  167  984
e  161  182  68
e  161  254  539
e  162  168  492
e  163  164  210
e  163  271  30
e  164  234  82
e  164  311  596
e  164  310  30
e  165  190  705
e  165  180  4
e  166  168  705
e  166  169  600
e  167  187  314
e  168  179  546
e  168  173  600
e  169  173  705
e  169  172  236
e  170  221  334
e  170  294  492
e  170  213  519
e  171  197  153
e  172  175  705
e  173  175  236
e  174  182  71
e  175  185  546
e  175  232  616
e  175  211  4
e  175  193  303
e  175  183  678
e  176  189  252
e  176  197  539
e  177  209  469
e  177  196  492
e  178  231  405
e  178  268  524
e  178  216  629
e  179  194  220
e  179  202  616
e  179  184  236
e  180  195  705
e  180  231  806
e  181  191  66
e  182  199  740
e  182  228  621
e  182  245  56
e  182  281  539
e  183  190  303
e  184  185  600
e  184  206  616
e  185  208  616
e  186  192  82
e  187  205  984
e  187  256  736
e  187  204  919
e  188  210  56
e  188  200  141
e  189  191  608
e  189  215  539
e  190  193  678
e  190  195  4
e  191  198  457
e  191  218  539
e  192  253  596
e  192  252  740
e  192  214  572
